"Event year","Territory","1st order fertility rate","2nd order fertility rate","3rd order and more fertility rate","Total fertility rate","Notes"
"2012","Provincia Autonoma di Bolzano","073","061","033","167",""
"2012","Provincia Autonoma di Trento","075","061","024","160",""
"2012","Veneto","075","054","019","148",""
"2012","Friuli-Venezia Giulia","076","050","015","141",""
"2012","Emilia-Romagna","076","053","019","148",""
"2012","Toscana","074","049","015","139",""
"2012","Umbria","073","050","016","139",""
"2012","Marche","071","051","016","138",""
"2012","Lazio","077","051","015","144",""
"2012","Abruzzo","067","049","016","133",""
"2012","Molise","062","045","012","119",""
"2012","Campania","067","049","023","139",""
"2012","Puglia","063","050","017","130",""
"2012","Basilicata","058","048","015","122",""
"2012","Calabria","062","048","020","130",""
"2012","Sicilia","065","053","022","140",""
"2012","Sardegna","061","041","013","114",""
"2012","Italia","072","052","019","142",""
"2013","Piemonte","073","051","017","141",""
"2013","Valle d'Aosta/Vallée d'Aoste","072","056","017","144",""
"2013","Liguria","073","048","014","135",""
"2013","Lombardia","073","054","020","147",""
"2013","Trentino-Alto Adige/Südtirol","074","061","027","163",""
"2013","Provincia Autonoma di Bolzano","072","062","031","165",""
"2013","Provincia Autonoma di Trento","077","060","024","160",""
"2013","Veneto","071","052","019","143",""
"2013","Friuli-Venezia Giulia","071","051","016","138",""
"2013","Emilia-Romagna","074","052","019","146",""
"2013","Toscana","071","048","015","134",""
"2013","Umbria","072","049","017","138",""
"2013","Marche","068","049","017","135",""
"2013","Lazio","076","051","016","143",""
"2013","Abruzzo","066","048","016","130",""
"2013","Molise","058","045","014","118",""
"2013","Campania","065","048","023","136",""
"2013","Puglia","062","049","017","128",""
"2013","Basilicata","056","042","014","113",""
"2013","Calabria","062","049","019","129",""
"2013","Sicilia","063","052","022","137",""
"2013","Sardegna","059","041","013","112",""
"2013","Italia","070","051","019","139",""
"2014","Piemonte","072","051","017","141",""
"2014","Valle d'Aosta/Vallée d'Aoste","079","054","021","154",""
"2014","Liguria","073","048","014","135",""
"2014","Lombardia","073","053","020","146",""
"2014","Trentino-Alto Adige/Südtirol","074","062","028","165",""
"2014","Provincia Autonoma di Bolzano","076","066","033","175",""
"2014","Provincia Autonoma di Trento","073","057","024","154",""
"2014","Veneto","070","052","020","142",""
"2014","Friuli-Venezia Giulia","072","051","015","139",""
"2014","Emilia-Romagna","072","051","020","143",""
"2014","Toscana","071","048","016","136",""
"2014","Umbria","070","048","016","134",""
"2014","Marche","068","050","017","135",""
"2014","Lazio","078","047","014","140",""
"2014","Abruzzo","066","048","015","130",""
"2014","Molise","060","045","013","118",""
"2014","Campania","061","050","023","134",""
"2014","Puglia","061","051","017","129",""
"2014","Basilicata","056","045","015","116",""
"2014","Calabria","061","049","020","130",""
"2014","Sicilia","064","054","022","140",""
"2014","Sardegna","058","040","013","111",""
"2014","Italia","069","051","019","138",""
"2015","Piemonte","070","050","017","137",""
"2015","Valle d'Aosta/Vallée d'Aoste","066","055","020","141",""
"2015","Liguria","070","046","015","132",""
"2015","Lombardia","072","053","021","145",""
"2015","Trentino-Alto Adige/Südtirol","072","062","029","164",""
"2015","Provincia Autonoma di Bolzano","072","067","033","171",""
"2015","Provincia Autonoma di Trento","073","057","026","156",""
"2015","Veneto","068","052","020","139",""
"2015","Friuli-Venezia Giulia","068","048","016","133",""
"2015","Emilia-Romagna","070","052","021","143",""
"2015","Toscana","068","047","016","131",""
"2015","Umbria","066","047","015","129",""
"2015","Marche","065","051","017","134",""
"2015","Lazio","070","051","015","136",""
"2015","Abruzzo","065","048","016","129",""
"2015","Molise","062","043","013","118",""
"2015","Campania","058","053","024","135",""
"2015","Puglia","059","050","017","126",""
"2015","Basilicata","058","046","014","118",""
"2015","Calabria","061","050","021","131",""
"2015","Sicilia","062","053","023","138",""
"2015","Sardegna","058","040","012","111",""
"2015","Italia","066","051","019","136",""
"2016","Piemonte","068","050","018","136",""
"2016","Valle d'Aosta/Vallée d'Aoste","069","054","019","142",""
"2016","Liguria","069","048","015","131",""
"2016","Lombardia","069","053","021","143",""
"2016","Trentino-Alto Adige/Südtirol","073","063","028","164",""
"2016","Provincia Autonoma di Bolzano","075","069","033","177",""
"2016","Provincia Autonoma di Trento","071","057","024","152",""
"2016","Veneto","067","052","020","139",""
"2016","Friuli-Venezia Giulia","067","050","017","134",""
"2016","Emilia-Romagna","069","051","021","140",""
"2016","Toscana","067","048","016","131",""
"2016","Umbria","066","047","015","128",""
"2016","Marche","065","050","018","132",""
"2016","Lazio","082","041","013","136",""
"2016","Abruzzo","064","049","016","129",""
"2016","Molise","059","044","014","116",""
"2016","Campania","059","054","023","135",""
"2016","Puglia","060","050","017","127",""
"2016","Basilicata","057","046","015","118",""
"2016","Calabria","060","050","021","131",""
"2016","Sicilia","060","052","023","135",""
"2016","Sardegna","055","040","013","108",""
"2016","Italia","067","050","019","136",""
"2017","Piemonte","067","049","019","135",""
"2017","Valle d'Aosta/Vallée d'Aoste","065","052","019","135",""
"2017","Liguria","066","047","016","129",""
"2017","Lombardia","068","051","022","140",""
"2017","Trentino-Alto Adige/Südtirol","071","062","029","162",""
"2017","Provincia Autonoma di Bolzano","075","067","033","175",""
"2017","Provincia Autonoma di Trento","068","057","024","149",""
"2017","Veneto","065","051","020","137",""
"2017","Friuli-Venezia Giulia","066","048","017","132",""
"2017","Emilia-Romagna","065","050","021","136",""
"2017","Toscana","064","048","017","129",""
"2017","Umbria","064","047","016","126",""
"2017","Marche","061","047","017","126",""
"2017","Lazio","066","048","016","130",""
"2017","Abruzzo","061","048","016","125",""
"2017","Molise","061","045","014","120",""
"2017","Campania","060","053","023","136",""
"2017","Puglia","058","050","018","125",""
"2017","Basilicata","059","045","016","120",""
"2017","Calabria","061","048","021","130",""
"2017","Sicilia","061","053","024","137",""
"2017","Sardegna","055","040","013","108",""
"2017","Italia","064","050","020","134",""
"2018","Piemonte","063","048","018","130",""
"2018","Valle d'Aosta/Vallée d'Aoste","068","051","020","139",""
"2018","Liguria","063","046","016","124",""
"2018","Lombardia","064","051","021","136",""
"2018","Trentino-Alto Adige/Südtirol","072","060","027","159",""
"2018","Provincia Autonoma di Bolzano","076","066","031","173",""
"2018","Provincia Autonoma di Trento","067","054","023","145",""
"2018","Veneto","064","050","021","134",""
"2018","Friuli-Venezia Giulia","062","049","018","128",""
"2018","Emilia-Romagna","064","049","021","135",""
"2018","Toscana","063","046","016","126",""
"2018","Umbria","061","045","016","122",""
"2018","Marche","058","046","018","123",""
"2018","Lazio","063","047","015","125",""
"2018","Abruzzo","059","046","015","120",""
"2018","Molise","055","042","014","111",""
"2018","Campania","058","052","022","133",""
"2018","Puglia","056","050","017","123",""
"2018","Basilicata","056","044","014","114",""
"2018","Calabria","059","048","021","129",""
"2018","Sicilia","060","053","023","137",""
"2018","Sardegna","053","038","013","103",""
"2018","Italia","062","049","019","131",""
"2019","Piemonte","063","046","018","127",""
"2019","Valle d'Aosta/Vallée d'Aoste","067","049","016","131",""
"2019","Liguria","062","044","015","121",""
"2019","Lombardia","064","048","020","133",""
"2019","Trentino-Alto Adige/Südtirol","069","060","028","157",""
"2019","Provincia Autonoma di Bolzano","073","066","032","171",""
"2019","Provincia Autonoma di Trento","066","053","023","142",""
"2019","Veneto","063","048","019","129",""
